path,theta,gamma,vega,delta_mismatch,residual,costs,total_pnl
208,1.7861021869268396,-1.8134543909580938,0.0,0.0,0.08932438068003436,0.0,0.061972176648794175
209,1.1882651605820147,-1.579599132086186,0.0,0.0,0.1057526092008589,0.0,-0.2855813623032617
210,2.377667274579874,-2.4440476969854648,0.0,0.0,0.019870279203731175,0.0,-0.04651014320181446
211,2.3353247949517146,-2.0824163852241635,0.0,0.0,-0.11270657845483156,0.0,0.1402018312728046
212,3.609310933288887,-3.3180622633590375,0.0,0.0,-0.02426242460981092,0.0,0.2669862453200409
213,1.0491196306491555,-1.0988471621626859,0.0,0.0,-0.1219316678475867,0.0,-0.17165919936093132
214,2.796403410588916,-2.1492009350800876,0.0,0.0,0.0030363588432961762,0.0,0.6502388343521659
215,2.045520905116913,-2.531742754779875,0.0,0.0,-0.004327238830190282,0.0,-0.4905490884931254
216,1.2539614114720277,-1.104188308103175,0.0,0.0,-0.12384416785400369,0.0,0.025928935514784257
217,3.7281455784124415,-4.088201506939045,0.0,0.0,-0.0053309593363925906,0.0,-0.36538688786299645
218,1.3145687501822705,-1.3186564179051805,0.0,0.0,0.08915202768807144,0.0,0.08506435996511641
219,2.1572090333425815,-2.431259037668842,0.0,0.0,0.04372090181623155,0.0,-0.23032910251004068
220,3.207962609180859,-3.1474552318707403,0.0,0.0,0.09643975535020514,0.0,0.1569471326603349
221,2.15580045533997,-2.1508081969336477,0.0,0.0,0.0641329469833643,0.0,0.06912520538965339
