t,S,T_rem,option_value,hedge_shares,cash,step_pnl,theta_pnl,gamma_pnl,delta_mismatch_pnl,residual_pnl
142,100.35611972002809,0.012896825396825396,1.840691582073248,0.06652156531710274,-5.121277310541224,0.02617169543877838,0.03417535874316899,-0.008032268592137813,0.0,2.8605287747205527e-05
143,101.46476549048076,0.01240079365079365,2.170484956607229,0.14224020162887507,-12.720232033434868,-0.17222556876194814,0.0345406488595167,-0.2116923522220843,0.0,0.004926134600619442
144,101.35509218057742,0.011904761904761904,2.0870641179672873,0.5004383650289794,-49.06521143758287,0.028049351109091757,0.029193295205557256,-0.0016906417610076288,-0.0,0.0005466976645421284
145,101.10594961668717,0.011408730158730158,1.9450126924464293,0.47693844245039263,-46.68383774940749,0.022762628137226286,0.030441558913907995,-0.009130739965587362,-0.0,0.0014518091889056534
146,100.58137555834436,0.010912698412698412,1.7404394251217141,0.4082008290200765,-39.7344502581701,-0.009952487192718216,0.03283668180343589,-0.04402091774949901,-0.0,0.0012317487533449085
147,99.98651995207186,0.010416666666666666,1.6283779229608442,0.23456651886623314,-22.270293433127154,-0.027692640985350552,0.0366646255789831,-0.06425253075901322,-0.0,-0.0001047358053204335
148,100.22209953385422,0.00992063492063492,1.602700940506388,0.011016936912685793,0.08165211318531666,0.02827315788165679,0.03876382721807713,-0.010846962143085429,0.0,0.00035629280666508306
149,100.60413673375801,0.009424603174603174,1.6325254710969972,0.10445404101695344,-9.28290272633984,0.009988706925998046,0.03957006222172098,-0.028914465566070576,0.0,-0.0006668897296523563
150,100.60974541048816,0.008928571428571428,1.5944508355904432,0.2583225276589787,-24.762954658504714,0.03927782004215574,0.039086980823467676,-6.08497477395459e-06,0.0,0.00019692419346201834
151,100.76039966588452,0.008432539682539682,1.5996407939412478,0.26656928363990984,-25.592912574891418,0.03471594190470907,0.04001633029614315,-0.004493927357494073,0.0,-0.000806461033940005
152,100.81393926307737,0.007936507936507936,1.5781427247158675,0.33340833100022893,-32.327962412526134,0.03902790464589196,0.0398954642967092,-0.0005631906491582092,0.0,-0.00030436900165902586
153,100.87772412090865,0.00744047619047619,1.5618989676872133,0.36363741430629415,-35.375826329839505,0.039087368885105826,0.04039929887948786,-0.0008080547982623164,0.0,-0.0005038751961197116
154,100.19576871488755,0.006944444444444444,1.3414993140771472,0.39958862463278333,-39.002889538476495,-0.05248890065144869,0.04073634691125526,-0.0929429415298573,-0.0,-0.000282306032846652
